Ensembl Transcript ID,control 1,control 2,hht 1.1,hht 1.2,hht 2.1,hht 2.2,hht 3.1,hht 3.2
ENSG00000128266,19.84085036,29.55044487,31.44128506,25.06404641,21.35802366,37.48959664,18.98011398,36.78093827
ENSG00000128271,46.62599834,34.64534916,21.55973832,26.0280482,28.47736488,31.06280864,13.39772751,29.60416983
ENSG00000128272,11317.22104,11441.11707,9762.968171,8296.199362,8124.185382,6971.993843,6861.869442,6406.162931
ENSG00000128274,521.8143644,493.1867351,636.910603,644.9171942,373.2568897,378.1093604,628.5767159,654.8801204
ENSG00000128283,2150.748179,2100.119548,1934.986515,1718.815183,1424.885293,1389.257338,1039.44036,962.5840674
ENSG00000128284,2392.806553,2324.295336,2840.495524,2371.444391,2766.372589,2435.75265,2529.937546,2107.278634
ENSG00000128285,15.87268028,11.20878944,2.69496729,10.60401964,23.39212115,24.63602065,14.51420481,24.22159349
ENSG00000128294,1966.22827,1806.653061,1420.247762,1326.466456,1463.533145,1401.039783,1703.744349,1723.321522
ENSG00000128309,2018.806524,1996.1835,1902.646907,1554.934879,1416.748903,1228.587638,1289.531273,1260.419958
ENSG00000128311,733.1194206,673.546347,702.4881404,624.6731567,555.3086152,525.9254842,587.2670561,587.5979163
ENSG00000128335,1396.795865,1380.719062,1370.840028,1192.470208,1346.572539,1248.939134,2155.917653,1858.783027
ENSG00000128340,2542.604973,2824.614938,2007.750631,1880.767483,1585.578995,1562.780614,1980.630718,2128.808939
ENSG00000128342,11.90451021,28.53146402,4.491612151,16.38803035,18.30687742,36.4184653,132.8607979,142.6382728
ENSG00000128346,105.1565069,111.0689135,78.15405142,81.94015173,118.9947033,67.48127395,71.45454675,69.07639626
ENSG00000128394,114.0848895,122.2777029,155.4097804,129.1762392,88.48324089,98.54408259,145.1420481,150.7121373
ENSG00000128463,1561.474923,1600.818928,1441.8075,1360.206519,1088.242158,1106.478666,1590.980142,1368.071484
ENSG00000128487,681.5332097,650.1097872,326.9893646,360.5366676,506.4902754,538.7790602,133.9772751,155.1976176
ENSG00000128510,11.90451021,15.28471287,35.93289721,51.09209461,9.153438712,23.56488931,21.21306856,34.98674616
ENSG00000128512,10168.43581,10238.71966,9005.682362,8047.486902,7155.954976,6589.599957,4561.926219,3976.826813
ENSG00000128513,647.8037641,705.1347536,468.0259861,484.8928979,456.6548869,447.732897,556.0056919,462.0044685
ENSG00000128524,1648.774665,1546.812942,1478.63872,1229.102276,1267.242737,990.7964825,1817.625033,1588.757114
ENSG00000128534,785.6976741,741.8180644,697.0982058,698.9012942,623.4508812,556.9882929,731.2926268,609.1282216
ENSG00000128536,31.74536057,51.96802374,34.13625235,41.45207676,28.47736488,66.41014261,89.31818343,76.25316471
ENSG00000128563,511.8939392,552.2876249,432.9914113,448.2608301,458.6889844,502.3605949,511.3466001,494.2999265
ENSG00000128567,2523.756165,2641.198383,2203.584921,2112.127911,2915.878754,2592.137825,4403.386443,4114.979606
ENSG00000128573,15.87268028,25.47452144,68.27250469,86.76016066,33.56260861,43.91638463,89.31818343,111.2399109
ENSG00000128578,845.2202251,857.9818822,349.4474253,304.6245641,388.5126209,354.544471,539.2585325,503.2708871
ENSG00000128581,534.7109171,500.3196011,573.1297104,496.4609193,494.2856905,385.6072797,494.5994408,435.0915869
ENSG00000128585,1699.368833,1728.191535,1836.171047,1551.078872,1381.152197,1288.570993,1652.386393,1507.121373
ENSG00000128590,1388.859525,1243.156646,1413.959505,1280.194371,1538.794752,1283.215336,1173.417635,1044.219808
ENSG00000128591,5544.525632,5750.10898,4415.254744,3790.455019,4268.553586,3424.40687,5164.823957,4773.448111
ENSG00000128594,955.3369446,904.8550017,1017.799313,965.9297886,1087.225109,944.7378352,448.8238717,543.6402096
ENSG00000128595,16902.42042,16557.41996,12723.8389,11971.93817,11438.74724,11244.73673,15904.21904,14424.40747
ENSG00000128596,47.61804085,50.94904289,28.74631777,36.63206783,32.54555987,48.20090996,40.19318254,70.87058837
ENSG00000128602,279.75599,270.0299273,141.934944,173.5203213,92.55143587,91.04616326,97.13352448,121.1079675
ENSG00000128604,15.87268028,31.58840659,16.16980374,26.99204998,21.35802366,47.12977863,34.61079608,43.95770671
ENSG00000128606,316.4615632,342.3775682,233.5638318,244.8564534,325.4555987,317.0548744,55.82386464,50.2373791
ENSG00000128607,1419.612843,1310.409383,1500.198458,1275.374362,1197.066374,1015.432503,1241.52275,1099.839764
ENSG00000128609,1071.405919,1126.992829,1370.840028,1336.106474,1108.583133,1080.771514,1379.965934,1188.652273
ENSG00000128617,104.1644644,122.2777029,76.35740656,61.69611424,83.39799716,65.33901128,45.77556901,50.2373791
ENSG00000128626,697.40589,729.5902941,505.7555282,505.1369354,443.4332532,384.5361484,648.6733072,576.8327636
